19	Arabes	_	NPP	NPP		
20	,	,	PONCT	PONCT		
21	mais	mais	CC	CC		
22	on	on	CLS	CLS	n=s|p=3	
23	ignore	ignorer	V	V	n=s|t=P,S|p=1,3	
24	où	où	PROREL	PROREL		
25	il	il	CLS	CLS	n=s|g=m|p=3	
26	fut	être	V	V	n=s|t=J|p=3	
27	inventé	inventer	VPP	VPP	n=s|g=m|t=K	
28	exactement	_	ADV	ADV		
29	.	.	PONCT	PONCT		

1	Il	il	CLS	CLS	n=s|g=m|p=3	
2	dérive	dériver	V	V	n=s|t=P,S|p=1,3	
3	du	de	P+D	P+D	n=s|g=m	
4	shatranj	_	NC	NC		
5	ou	ou	CC	CC		
6	chatrang	_	NC	NC		
7	qui	qui	PROREL	PROREL	n=s	
8	lui	lui	CLO	CLO	n=s|p=3	
9	-	-	PONCT	PONCT		
10	même	même	ADV	ADV		
11	est	être	V	V	n=s|t=P|p=3	
12	la	la	DET	DET	n=s|g=f	
13	version	version	NC	NC	n=s|g=f	
14	perse	pers	ADJ	ADJ	n=s|g=f	
15	du	de	P+D	P+D	n=s|g=m	
16	chaturanga	_	NC	NC		
17	de	de	P	P		
18	l'	le	DET	DET	n=s	
19	Inde	Inde	NPP	NPP	n=s|g=f	
20	classique	classique	ADJ	ADJ	n=s	
21	.	.	PONCT	PONCT		

1	Les	les	DET	DET	n=p	
2	règles	règle	NC	NC	n=p|g=f	
3	actuelles	actuel	ADJ	ADJ	n=p|g=f	
4	se	se	CLR	CLR	n=p,s|p=3	
5	fixent	fixer	V	V	n=p|t=P,S|p=3	
6	à	à	P	P		
7	partir	partir	VINF	VINF	t=W	
8	de	de	P	P		
9	la	la	DET	DET	n=s|g=f	
10	fin	fin	NC	NC	n=s	
11	du	de	P+D	P+D	n=s|g=m	
12	XVe	_	ADJ	ADJ		
13	siècle	siècle	NC	NC	n=s|g=m	
14	.	.	PONCT	PONCT		

1	Le	le	DET	DET	n=s|g=m	
2	jeu	jeu	NC	NC	n=s|g=m	
3	d'	de	P	P		
4	échecs	échec	NC	NC	n=p|g=m	
5	est	être	V	V	n=s|t=P|p=3	
6	l'	le	DET	DET	n=s	
7	un	un	PRO	PRO	n=s|g=m	
8	des	de	P+D	P+D	n=p	
9	jeux	jeu	NC	NC	n=p|g=m	
10	de	de	P	P		
11	réflexion	réflexion	NC	NC	n=s|g=f	
12	les	les	DET	DET	n=p	
13	plus	plus	ADV	ADV		
14	populaires	populaire	ADJ	ADJ	n=p	
15	au	à	P+D	P+D	n=s|g=m	
16	monde	monde	NC	NC	n=s|g=m	
17	.	.	PONCT	PONCT		

1	Il	il	CLS	CLS	n=s|g=m|p=3	
2	est	être	V	V	n=s|t=P|p=3	
3	pratiqué	pratiquer	VPP	VPP	n=s|g=m|t=K	
4	par	par	P	P		
5	des	des	DET	DET	n=p	
